[2017-07-17 11:32:50.208] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:33:02.217] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:33:14.229] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:33:26.238] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:33:38.250] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:33:50.259] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:34:02.266] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:34:14.280] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:34:26.289] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:34:38.302] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:34:50.314] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:35:02.325] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:35:14.327] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:35:26.338] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:35:38.348] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:35:50.353] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:36:02.365] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:36:14.375] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:36:26.385] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:36:38.392] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:36:50.397] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:37:02.407] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:37:14.415] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:37:26.429] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:37:38.440] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:37:50.450] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:38:02.463] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:38:14.477] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:38:26.482] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:38:38.496] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:38:50.504] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:39:02.512] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:39:14.515] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:39:26.520] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:39:38.529] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:39:50.539] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:40:02.546] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:40:14.556] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:40:26.568] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:40:38.577] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:40:50.585] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:41:02.598] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:41:14.611] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:41:26.621] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:41:38.625] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:41:50.635] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:42:02.636] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:42:14.645] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:42:26.657] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:42:38.668] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:42:50.679] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:43:02.691] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:43:14.702] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:43:26.714] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:43:38.728] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:43:50.737] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:44:02.749] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:44:14.762] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:44:26.774] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:44:38.786] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:44:50.798] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:45:02.811] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:45:14.825] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:45:26.835] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:45:38.847] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:45:50.858] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:46:02.871] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:46:14.882] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:46:26.895] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:46:38.906] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:46:50.917] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:47:02.928] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:47:14.930] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:47:26.940] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:47:38.953] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:47:50.960] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:48:02.972] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:48:14.986] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:48:26.988] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:48:39.000] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:48:51.014] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:49:03.023] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:49:15.035] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:49:27.042] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:49:39.055] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:49:51.059] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:50:03.065] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:50:15.073] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:50:27.083] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:50:39.091] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:50:51.104] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:51:03.113] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:51:15.126] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:51:27.140] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:51:39.145] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:51:51.159] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:52:03.166] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:52:15.169] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:52:27.179] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:52:39.191] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:52:51.201] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:53:03.214] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:53:15.216] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:53:27.226] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:53:39.228] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:53:51.235] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:54:03.248] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:54:15.254] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:54:27.267] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:54:39.277] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:54:51.285] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:55:03.297] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:55:15.311] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:55:27.322] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:55:39.328] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:55:51.335] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:56:03.345] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:56:15.356] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:56:27.359] [INFO] normal - Currently, connection number is: 2
